"PID","PE","Relationship_Type","Relationship","Orientation","Emotion","Valence","Type","Frequency","Connection"
1,"Expression","Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,0
1,"Expression","Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,0
1,"Expression","Communal","Close Friend","Disengaging","Pride","Positive","Experience",2,1
1,"Expression","Communal","Close Friend","Disengaging","Pride","Positive","Expression",1,1
1,"Expression","Communal","Close Friend","Engaging","Guilt","Negative","Experience",1,1
1,"Expression","Communal","Close Friend","Engaging","Guilt","Negative","Expression",1,1
1,"Expression","Communal","Close Friend","Engaging","Respect","Positive","Experience",2,1
1,"Expression","Communal","Close Friend","Engaging","Respect","Positive","Expression",2,1
1,"Expression","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",0,-1
1,"Expression","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",1,-1
1,"Expression","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",2,1
1,"Expression","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",2,1
1,"Expression","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,1
1,"Expression","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,1
1,"Expression","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",4,2
1,"Expression","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",4,2
1,"Expression","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",1,-1
1,"Expression","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",1,-1
1,"Expression","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,0
1,"Expression","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",1,0
1,"Expression","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",1,1
1,"Expression","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",1,1
1,"Expression","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",2,1
1,"Expression","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",2,1
1,"Expression","Transactional","Stranger","Disengaging","Anger","Negative","Experience",1,0
1,"Expression","Transactional","Stranger","Disengaging","Anger","Negative","Expression",1,0
1,"Expression","Transactional","Stranger","Disengaging","Pride","Positive","Experience",1,NA
1,"Expression","Transactional","Stranger","Disengaging","Pride","Positive","Expression",0,NA
1,"Expression","Transactional","Stranger","Engaging","Guilt","Negative","Experience",0,NA
1,"Expression","Transactional","Stranger","Engaging","Guilt","Negative","Expression",0,NA
1,"Expression","Transactional","Stranger","Engaging","Respect","Positive","Experience",0,NA
1,"Expression","Transactional","Stranger","Engaging","Respect","Positive","Expression",0,NA
2,"Expression","Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,1
2,"Expression","Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,1
2,"Expression","Communal","Close Friend","Disengaging","Pride","Positive","Experience",2,1
2,"Expression","Communal","Close Friend","Disengaging","Pride","Positive","Expression",2,1
2,"Expression","Communal","Close Friend","Engaging","Guilt","Negative","Experience",0,NA
2,"Expression","Communal","Close Friend","Engaging","Guilt","Negative","Expression",0,NA
2,"Expression","Communal","Close Friend","Engaging","Respect","Positive","Experience",2,1
2,"Expression","Communal","Close Friend","Engaging","Respect","Positive","Expression",2,1
2,"Expression","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",1,1
2,"Expression","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",1,1
2,"Expression","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",2,1
2,"Expression","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",2,1
2,"Expression","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,NA
2,"Expression","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",0,NA
2,"Expression","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",4,2
2,"Expression","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",4,2
2,"Expression","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",1,NA
2,"Expression","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",0,NA
2,"Expression","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,1
2,"Expression","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",2,1
2,"Expression","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",0,NA
2,"Expression","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",0,NA
2,"Expression","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",2,1
2,"Expression","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",1,1
2,"Expression","Transactional","Stranger","Disengaging","Anger","Negative","Experience",0,NA
2,"Expression","Transactional","Stranger","Disengaging","Anger","Negative","Expression",0,NA
2,"Expression","Transactional","Stranger","Disengaging","Pride","Positive","Experience",2,NA
2,"Expression","Transactional","Stranger","Disengaging","Pride","Positive","Expression",0,NA
2,"Expression","Transactional","Stranger","Engaging","Guilt","Negative","Experience",0,NA
2,"Expression","Transactional","Stranger","Engaging","Guilt","Negative","Expression",0,NA
2,"Expression","Transactional","Stranger","Engaging","Respect","Positive","Experience",1,NA
2,"Expression","Transactional","Stranger","Engaging","Respect","Positive","Expression",0,NA
3,"Expression","Communal","Close Friend","Disengaging","Anger","Negative","Experience",0,NA
3,"Expression","Communal","Close Friend","Disengaging","Anger","Negative","Expression",0,NA
3,"Expression","Communal","Close Friend","Disengaging","Pride","Positive","Experience",2,1
3,"Expression","Communal","Close Friend","Disengaging","Pride","Positive","Expression",2,1
3,"Expression","Communal","Close Friend","Engaging","Guilt","Negative","Experience",0,NA
3,"Expression","Communal","Close Friend","Engaging","Guilt","Negative","Expression",0,NA
3,"Expression","Communal","Close Friend","Engaging","Respect","Positive","Experience",3,1
3,"Expression","Communal","Close Friend","Engaging","Respect","Positive","Expression",3,1
3,"Expression","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",1,-1
3,"Expression","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",1,-1
3,"Expression","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",2,1
3,"Expression","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",1,1
3,"Expression","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,-1
3,"Expression","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,-1
3,"Expression","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",3,2
3,"Expression","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",3,2
3,"Expression","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",0,NA
3,"Expression","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",0,NA
3,"Expression","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,0
3,"Expression","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",1,0
3,"Expression","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",1,-1
3,"Expression","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",1,-1
3,"Expression","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",3,2
3,"Expression","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",3,2
3,"Expression","Transactional","Stranger","Disengaging","Anger","Negative","Experience",0,NA
3,"Expression","Transactional","Stranger","Disengaging","Anger","Negative","Expression",0,NA
3,"Expression","Transactional","Stranger","Disengaging","Pride","Positive","Experience",1,NA
3,"Expression","Transactional","Stranger","Disengaging","Pride","Positive","Expression",0,NA
3,"Expression","Transactional","Stranger","Engaging","Guilt","Negative","Experience",1,NA
3,"Expression","Transactional","Stranger","Engaging","Guilt","Negative","Expression",0,NA
3,"Expression","Transactional","Stranger","Engaging","Respect","Positive","Experience",2,-1
3,"Expression","Transactional","Stranger","Engaging","Respect","Positive","Expression",1,-1
4,"Expression","Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,0
4,"Expression","Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,0
4,"Expression","Communal","Close Friend","Disengaging","Pride","Positive","Experience",3,1
4,"Expression","Communal","Close Friend","Disengaging","Pride","Positive","Expression",2,1
4,"Expression","Communal","Close Friend","Engaging","Guilt","Negative","Experience",0,NA
4,"Expression","Communal","Close Friend","Engaging","Guilt","Negative","Expression",0,NA
4,"Expression","Communal","Close Friend","Engaging","Respect","Positive","Experience",3,1
4,"Expression","Communal","Close Friend","Engaging","Respect","Positive","Expression",3,1
4,"Expression","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",1,-1
4,"Expression","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",1,-1
4,"Expression","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",3,1
4,"Expression","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",2,1
4,"Expression","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",2,-1
4,"Expression","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",2,-1
4,"Expression","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",4,1
4,"Expression","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",3,1
4,"Expression","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",1,0
4,"Expression","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",1,0
4,"Expression","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,0
4,"Expression","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",2,0
4,"Expression","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",1,-1
4,"Expression","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",1,-1
4,"Expression","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",3,1
4,"Expression","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",2,1
4,"Expression","Transactional","Stranger","Disengaging","Anger","Negative","Experience",2,0
4,"Expression","Transactional","Stranger","Disengaging","Anger","Negative","Expression",1,0
4,"Expression","Transactional","Stranger","Disengaging","Pride","Positive","Experience",2,0
4,"Expression","Transactional","Stranger","Disengaging","Pride","Positive","Expression",2,0
4,"Expression","Transactional","Stranger","Engaging","Guilt","Negative","Experience",1,1
4,"Expression","Transactional","Stranger","Engaging","Guilt","Negative","Expression",1,1
4,"Expression","Transactional","Stranger","Engaging","Respect","Positive","Experience",2,0
4,"Expression","Transactional","Stranger","Engaging","Respect","Positive","Expression",2,0
5,"Expression","Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,NA
5,"Expression","Communal","Close Friend","Disengaging","Anger","Negative","Expression",0,NA
5,"Expression","Communal","Close Friend","Disengaging","Pride","Positive","Experience",3,1
