"PID","Relationship_Type","Relationship","Emotion","Exp_Type","Frequency","Hyp_Recall","Connection","DrawClose","Affirming","Willing","Age","Age_4_TEXT","Gender","Gender_5_TEXT","Income","Education","Race","Race_9_TEXT","Community_1_x","Community_1_y","Community"
1,"Communal","CF","Hurt","Experience",2,"Recall",1,1,1,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Hurt","Experience",2,"Hyp",NA,NA,NA,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Hurt","Expression",2,"Recall",1,1,1,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Hurt","Expression",2,"Hyp",NA,NA,NA,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Joy","Experience",3,"Recall",1,1,1,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Joy","Experience",3,"Hyp",NA,NA,NA,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Joy","Expression",3,"Recall",1,1,1,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Joy","Expression",3,"Hyp",NA,NA,NA,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Love","Experience",3,"Recall",1,1,1,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Love","Experience",3,"Hyp",NA,NA,NA,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Love","Expression",3,"Recall",1,1,1,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Love","Expression",3,"Hyp",NA,NA,NA,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Sadness","Experience",2,"Recall",1,1,1,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Sadness","Experience",2,"Hyp",NA,NA,NA,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Sadness","Expression",2,"Recall",1,1,1,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","CF","Sadness","Expression",2,"Hyp",NA,NA,NA,2,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","RP","Hurt","Experience",1,"Recall",1,1,1,1,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","RP","Hurt","Experience",1,"Hyp",NA,NA,NA,1,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
1,"Communal","RP","Hurt","Expression",1,"Recall",1,1,1,1,4,46,2,NA,7,3,"4,7",NA,198,171,"Region #5"
