"PID","Relationship_Type","Relationship","Emotion","Exp_Type","Frequency","Hyp_Recall","Connection","DrawClose","Affirming","Willing","Age","Age_4_TEXT","Gender","Gender_5_TEXT","Income","Education","Race","Race_9_TEXT","Community_1_x","Community_1_y","Community"
2,"Communal","RP","Love","Expression",4,"Hyp",NA,NA,NA,2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Communal","RP","Sadness","Experience",4,"Recall",2,2,2,2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Communal","RP","Sadness","Experience",4,"Hyp",NA,NA,NA,2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Communal","RP","Sadness","Expression",4,"Recall",2,2,2,2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Communal","RP","Sadness","Expression",4,"Hyp",NA,NA,NA,2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Hurt","Experience",1,"Recall",0,1,1,0,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Hurt","Experience",1,"Hyp",NA,NA,NA,0,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Hurt","Expression",2,"Recall",0,1,1,0,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Hurt","Expression",2,"Hyp",NA,NA,NA,0,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Joy","Experience",2,"Recall",1,1,1,2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Joy","Experience",2,"Hyp",NA,NA,NA,2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Joy","Expression",3,"Recall",1,1,1,2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Joy","Expression",3,"Hyp",NA,NA,NA,2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Love","Experience",0,"Recall",NA,NA,NA,-1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Love","Experience",0,"Hyp",0,0,0,-1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Love","Expression",0,"Recall",NA,NA,NA,-1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Love","Expression",0,"Hyp",0,0,0,-1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Sadness","Experience",2,"Recall",1,2,1,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Sadness","Experience",2,"Hyp",NA,NA,NA,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Sadness","Expression",2,"Recall",1,2,1,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","CC","Sadness","Expression",2,"Hyp",NA,NA,NA,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Hurt","Experience",1,"Recall",0,0,0,-1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Hurt","Experience",1,"Hyp",NA,NA,NA,-1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Hurt","Expression",1,"Recall",0,0,0,-1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Hurt","Expression",1,"Hyp",NA,NA,NA,-1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Joy","Experience",2,"Recall",1,0,0,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Joy","Experience",2,"Hyp",NA,NA,NA,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Joy","Expression",2,"Recall",1,0,0,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Joy","Expression",2,"Hyp",NA,NA,NA,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Love","Experience",0,"Recall",NA,NA,NA,-2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Love","Experience",0,"Hyp",0,0,-2,-2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Love","Expression",0,"Recall",NA,NA,NA,-2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Love","Expression",0,"Hyp",0,0,-2,-2,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Sadness","Experience",2,"Recall",1,0,0,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Sadness","Experience",2,"Hyp",NA,NA,NA,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Sadness","Expression",2,"Recall",1,0,0,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
2,"Transactional","SS","Sadness","Expression",2,"Hyp",NA,NA,NA,1,4,44,2,NA,7,5,"7",NA,217,84,"Region #8"
3,"Communal","CF","Hurt","Experience",3,"Recall",0,0,1,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Hurt","Experience",3,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Hurt","Expression",1,"Recall",0,0,1,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Hurt","Expression",1,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Joy","Experience",3,"Recall",NA,NA,NA,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Joy","Experience",3,"Hyp",0,0,1,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Joy","Expression",0,"Recall",NA,NA,NA,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Joy","Expression",0,"Hyp",0,0,1,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Love","Experience",2,"Recall",1,2,1,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Love","Experience",2,"Hyp",NA,NA,NA,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Love","Expression",3,"Recall",1,2,1,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Love","Expression",3,"Hyp",NA,NA,NA,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Sadness","Experience",3,"Recall",0,1,-2,-1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Sadness","Experience",3,"Hyp",NA,NA,NA,-1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Sadness","Expression",3,"Recall",0,1,-2,-1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","CF","Sadness","Expression",3,"Hyp",NA,NA,NA,-1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Hurt","Experience",1,"Recall",-1,-1,0,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Hurt","Experience",1,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Hurt","Expression",2,"Recall",-1,-1,0,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Hurt","Expression",2,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Joy","Experience",4,"Recall",2,0,2,2,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Joy","Experience",4,"Hyp",NA,NA,NA,2,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Joy","Expression",4,"Recall",2,0,2,2,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Joy","Expression",4,"Hyp",NA,NA,NA,2,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Love","Experience",4,"Recall",2,2,2,2,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Love","Experience",4,"Hyp",NA,NA,NA,2,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Love","Expression",4,"Recall",2,2,2,2,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Love","Expression",4,"Hyp",NA,NA,NA,2,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Sadness","Experience",3,"Recall",1,-1,1,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Sadness","Experience",3,"Hyp",NA,NA,NA,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Sadness","Expression",2,"Recall",1,-1,1,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Communal","RP","Sadness","Expression",2,"Hyp",NA,NA,NA,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Hurt","Experience",2,"Recall",0,0,2,-1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Hurt","Experience",2,"Hyp",NA,NA,NA,-1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Hurt","Expression",3,"Recall",0,0,2,-1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Hurt","Expression",3,"Hyp",NA,NA,NA,-1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Joy","Experience",2,"Recall",0,0,-1,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Joy","Experience",2,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Joy","Expression",2,"Recall",0,0,-1,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Joy","Expression",2,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Love","Experience",2,"Recall",0,0,0,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Love","Experience",2,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Love","Expression",2,"Recall",0,0,0,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Love","Expression",2,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Sadness","Experience",2,"Recall",-1,0,-1,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Sadness","Experience",2,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Sadness","Expression",2,"Recall",-1,0,-1,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","CC","Sadness","Expression",2,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Hurt","Experience",2,"Recall",0,0,0,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Hurt","Experience",2,"Hyp",NA,NA,NA,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Hurt","Expression",1,"Recall",0,0,0,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Hurt","Expression",1,"Hyp",NA,NA,NA,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Joy","Experience",2,"Recall",0,0,0,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Joy","Experience",2,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Joy","Expression",3,"Recall",0,0,0,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
