"PID","PE","Relationship_Type","Relationship","Orientation","Emotion","Valence","Type","Frequency","Connection"
3,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Expression",3,1
3,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Experience",1,0
3,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Expression",1,0
3,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Experience",2,1
3,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Expression",3,1
3,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",0,NA
3,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",0,NA
3,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",3,2
3,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",3,2
3,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",0,0
3,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,0
3,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",4,2
3,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",4,2
3,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",0,NA
3,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",0,NA
3,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,0
3,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",2,0
3,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",0,NA
3,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",0,NA
3,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",2,0
3,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",2,0
3,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Experience",0,NA
3,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Expression",0,NA
3,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Experience",2,1
3,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Expression",2,1
3,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Experience",0,NA
3,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Expression",0,NA
3,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Experience",1,1
3,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Expression",1,1
4,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,0
4,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,0
4,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Experience",3,0
4,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Expression",3,0
4,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Experience",2,1
4,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Expression",2,1
4,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Experience",3,1
4,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Expression",3,1
4,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",2,-1
4,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",2,-1
4,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",2,0
4,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",2,0
4,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",2,-1
4,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",2,-1
4,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",2,1
4,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",2,1
4,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",1,0
4,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",1,0
4,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,0
4,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",2,0
4,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",1,0
4,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",1,0
4,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",2,0
4,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",2,0
4,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Experience",0,-1
4,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Expression",1,-1
4,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Experience",2,0
4,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Expression",2,0
4,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Experience",1,0
4,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Expression",1,0
4,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Experience",2,0
4,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Expression",2,0
5,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,-1
5,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,-1
5,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Experience",3,2
5,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Expression",3,2
5,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Experience",1,-1
5,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Expression",1,-1
5,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Experience",3,2
5,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Expression",3,2
5,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",1,0
5,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",1,0
5,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",3,2
5,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",3,2
5,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,0
5,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,0
5,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",3,2
5,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",3,2
5,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",1,0
5,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",1,0
5,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",3,1
5,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",3,1
5,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",1,0
5,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",1,0
5,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",3,1
5,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",3,1
5,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Experience",1,0
5,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Expression",1,0
5,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Experience",2,0
5,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Expression",2,0
5,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Experience",2,0
5,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Expression",2,0
5,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Experience",2,0
5,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Expression",2,0
6,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,0
6,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,0
6,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Experience",2,1
6,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Expression",2,1
6,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Experience",0,NA
6,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Expression",0,NA
6,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Experience",3,1
6,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Expression",3,1
6,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",1,0
6,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",1,0
6,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",4,1
6,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",4,1
6,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,0
6,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,0
6,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",2,1
6,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",2,1
6,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",2,-1
6,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",2,-1
6,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,-1
6,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",2,-1
6,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",2,-1
6,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",2,-1
6,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",2,-1
6,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",2,-1
6,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Experience",0,NA
6,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Expression",0,NA
6,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Experience",0,NA
6,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Expression",0,NA
6,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Experience",0,NA
6,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Expression",0,NA
6,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Experience",0,NA
6,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Expression",0,NA
7,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Experience",0,NA
7,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Expression",0,NA
7,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Experience",2,1
7,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Expression",2,1
7,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Experience",0,NA
7,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Expression",0,NA
7,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Experience",3,2
7,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Expression",3,2
7,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",2,-1
7,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",2,-1
7,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",2,1
7,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",2,1
7,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,1
7,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,1
7,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",3,2
7,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",3,2
7,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",0,NA
7,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",0,NA
7,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,1
7,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",2,1
7,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",0,NA
7,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",0,NA
7,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",3,1
7,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",3,1
7,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Experience",1,-2
7,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Expression",1,-2
7,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Experience",2,-2
7,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Expression",2,-2
7,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Experience",1,-2
7,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Expression",1,-2
7,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Experience",2,-2
7,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Expression",1,-2
8,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,-1
8,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,-1
8,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Experience",2,0
8,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Expression",2,0
8,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Experience",1,0
8,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Expression",1,0
8,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Experience",3,1
8,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Expression",3,1
8,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",3,-2
8,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",3,-2
8,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",3,0
8,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",2,0
8,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,0
8,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,0
8,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",2,1
8,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",1,1
8,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",2,-1
8,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",2,-1
8,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,0
8,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",2,0
8,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",1,0
8,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",1,0
8,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",2,1
8,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",3,1
8,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Experience",2,-1
8,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Expression",2,-1
8,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Experience",2,0
8,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Expression",1,0
8,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Experience",1,0
8,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Expression",1,0
8,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Experience",2,0
8,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Expression",2,0
9,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,1
9,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,1
9,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Experience",3,1
9,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Expression",3,1
9,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Experience",1,0
9,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Expression",1,0
9,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Experience",4,2
9,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Expression",4,2
9,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",0,NA
9,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",0,NA
9,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",3,0
9,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",3,0
9,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",0,0
9,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,0
9,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",4,2
9,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",4,2
9,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",0,NA
9,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",0,NA
9,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",3,1
9,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",3,1
9,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",1,0
9,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",1,0
9,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",4,1
9,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",4,1
9,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Experience",1,-1
9,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Expression",1,-1
9,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Experience",3,0
9,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Expression",2,0
9,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Experience",1,0
9,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Expression",1,0
9,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Experience",4,0
9,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Expression",4,0
10,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Experience",0,NA
10,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Expression",0,NA
10,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Experience",3,2
10,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Expression",3,2
10,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Experience",0,NA
10,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Expression",0,NA
10,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Experience",4,2
10,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Expression",3,2
10,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",1,2
10,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",1,2
10,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",3,2
10,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",3,2
10,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,2
10,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,2
10,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",4,2
10,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",4,2
10,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",0,NA
10,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",0,NA
10,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",3,2
10,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",3,2
10,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",0,NA
10,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",0,NA
10,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",4,2
10,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",4,2
10,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Experience",0,NA
10,"Perception","Transactional","Stranger","Disengaging","Anger","Negative","Expression",0,NA
10,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Experience",2,0
10,"Perception","Transactional","Stranger","Disengaging","Pride","Positive","Expression",2,0
10,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Experience",1,0
10,"Perception","Transactional","Stranger","Engaging","Guilt","Negative","Expression",1,0
10,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Experience",2,0
10,"Perception","Transactional","Stranger","Engaging","Respect","Positive","Expression",2,0
11,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,-1
11,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,-1
11,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Experience",2,1
11,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Expression",2,1
11,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Experience",1,1
11,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Expression",1,1
11,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Experience",3,1
11,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Expression",2,1
11,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",2,-1
11,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",2,-1
11,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",2,1
11,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",2,1
11,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,1
11,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,1
11,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",2,2
11,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",2,2
11,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",1,-2
11,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",1,-2
11,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,1
11,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",2,1
