"PID","Relationship_Type","Relationship","Orientation","Emotion","Valence","Type","Frequency","Connection","Age","Age_4_TEXT","Gender","Gender_5_TEXT","Relationship_Status","Income","Education","Race","Race_9_TEXT","Ladder_Community_1_x","Ladder_Community_1_y","Ladder_Community"
3,"Communal","Close Friend","Disengaging","Pride","Positive","Experience",3,1,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Close Friend","Disengaging","Pride","Positive","Expression",3,1,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Close Friend","Engaging","Guilt","Negative","Experience",1,0,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Close Friend","Engaging","Guilt","Negative","Expression",1,0,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Close Friend","Engaging","Respect","Positive","Experience",2,1,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Close Friend","Engaging","Respect","Positive","Expression",3,1,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",0,NA,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",0,NA,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",3,2,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",3,2,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",0,0,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,0,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Romantic Partner","Engaging","Respect","Positive","Experience",4,2,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Communal","Romantic Partner","Engaging","Respect","Positive","Expression",4,2,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",0,NA,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",0,NA,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,0,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",2,0,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",0,NA,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",0,NA,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",2,0,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",2,0,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Stranger","Disengaging","Anger","Negative","Experience",0,NA,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Stranger","Disengaging","Anger","Negative","Expression",0,NA,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Stranger","Disengaging","Pride","Positive","Experience",2,1,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Stranger","Disengaging","Pride","Positive","Expression",2,1,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Stranger","Engaging","Guilt","Negative","Experience",0,NA,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Stranger","Engaging","Guilt","Negative","Expression",0,NA,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Stranger","Engaging","Respect","Positive","Experience",1,1,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
3,"Transactional","Stranger","Engaging","Respect","Positive","Expression",1,1,4,60,2,NA,4,7,5,"7",NA,258,99,"Region #8"
4,"Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Close Friend","Disengaging","Pride","Positive","Experience",3,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Close Friend","Disengaging","Pride","Positive","Expression",3,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Close Friend","Engaging","Guilt","Negative","Experience",2,1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Close Friend","Engaging","Guilt","Negative","Expression",2,1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Close Friend","Engaging","Respect","Positive","Experience",3,1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Close Friend","Engaging","Respect","Positive","Expression",3,1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",2,-1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",2,-1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",2,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",2,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",2,-1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",2,-1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Romantic Partner","Engaging","Respect","Positive","Experience",2,1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Communal","Romantic Partner","Engaging","Respect","Positive","Expression",2,1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",1,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",1,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",2,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",1,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",1,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",2,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",2,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Stranger","Disengaging","Anger","Negative","Experience",0,-1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Stranger","Disengaging","Anger","Negative","Expression",1,-1,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Stranger","Disengaging","Pride","Positive","Experience",2,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Stranger","Disengaging","Pride","Positive","Expression",2,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Stranger","Engaging","Guilt","Negative","Experience",1,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
4,"Transactional","Stranger","Engaging","Guilt","Negative","Expression",1,0,4,30,2,NA,9,3,6,"2",NA,121,209,"Other"
